Sensitivity Level,Description
Public,Information intended for public distribution
Internal,Information meant for internal use only
Confidential,Business-sensitive information that should only be accessible to authorized personnel.
Restricted,Highly sensitive information
Proprietary,Information related to business processes or products that are proprietary to the company.
Client Confidential,Information containing client-specific details that require strict confidentiality.
Personal Data,Information that includes personal identifiers or sensitive personal information (PII).
Financial Data,Information related to financial performance
Regulated,Information subject to industry regulations
Top Secret,The highest level of sensitivity
